              X1 	              X2 	              X3 	              X4 	              X5 	    Actual Value 	 Predicted Value 	
0.17000	0.16000	0.90000	0.90000	14.70000	1.15000	1.30298	
0.19000	0.17000	0.91000	1.10000	15.80000	2.02000	1.38902	
0.20000	0.18000	0.92000	1.20000	16.90000	1.23000	1.67210	
0.20000	0.19000	0.93000	1.20000	18.00000	2.69000	2.32130	
0.22000	0.19000	0.94000	1.40000	18.20000	2.68000	2.22915	
0.23000	0.20000	0.95000	1.50000	19.40000	2.79000	2.67745	
0.24000	0.21000	0.95000	1.60000	20.40000	2.21000	2.77160	
0.25000	0.22000	0.95000	1.70000	21.30000	2.58000	2.60323	
0.26000	0.23000	0.96000	1.80000	22.50000	2.35000	2.96523	
0.27000	0.24000	0.97000	1.90000	23.80000	4.55000	3.56271	
0.60000	0.47000	1.01000	5.00000	36.90000	7.05000	7.04898	
0.11000	0.10000	0.70000	0.30000	8.70000	0.20000	0.20339	
0.20500	0.19000	0.88000	1.25000	17.80000	1.81000	1.76611	
